D2,D3,D4,D5,D6,BI1,BI2,BI3,BI4,BI5,PE1,PE2,PE3,PE4,PE5,PE6,SN1,SN2,SN3,SN4,SN5,SN6,SN7,A1,A2,A3,A4,A5,A6,A7,B1,B2,B3,B4,B5,Column
2003,Man,WO Master,Groningen,Stedelijk,Helemaal oneens,Helemaal eens,Helemaal oneens,Helemaal oneens,Helemaal oneens,Eens,Eens,Eens,Eens,Oneens,Oneens,Eens,Neutraal,Eens,Helemaal oneens,Oneens,Oneens,Oneens,Helemaal oneens,Eens,Eens,Eens,Eens,Oneens,Oneens,Eens,Oneens,Oneens,Eens,Oneens,5
1997,Vrouw,WO Bachelor,Groningen,Stedelijk,Neutraal,Oneens,Oneens,Oneens,Oneens,Eens,Eens,Eens,Helemaal Eens,Oneens,Oneens,Oneens,Eens,Eens,Eens,Oneens,Eens,Eens,Oneens,Eens,Eens,Eens,Helemaal Eens,Oneens,Oneens,Eens,Oneens,Oneens,Eens,Oneens,5
1999,Vrouw,HBO,Groningen,Stedelijk,Oneens,Neutraal,Eens,Eens,Helemaal eens,Eens,Helemaal Eens,Helemaal Eens,Eens,Neutraal,Helemaal Eens,Helemaal eens,Eens,Helemaal Eens,Helemaal eens,Eens,Helemaal Eens,Helemaal Eens,Helemaal eens,Eens,Helemaal Eens,Helemaal Eens,Eens,Neutraal,Helemaal Eens,Helemaal eens,Eens,Helemaal Eens,Helemaal Eens,Helemaal eens,5
1998,,HBO,Groningen,Stedelijk,Eens,Helemaal eens,Neutraal,Eens,Eens,,,,,,,,,,,,,,,,,,,,,,,,,,5
1998,,WO Master,Groningen,Stedelijk,Helemaal oneens,Helemaal eens,Helemaal oneens,Helemaal oneens,Eens,Neutraal,Helemaal Eens,Neutraal,Neutraal,Neutraal,Neutraal,Neutraal,Neutraal,Eens,Neutraal,Oneens,Neutraal,Oneens,Neutraal,Neutraal,Helemaal Eens,Neutraal,Neutraal,Neutraal,Neutraal,Helemaal Eens,Neutraal,Neutraal,Neutraal,Neutraal,5
1998,Man,HBO,Amsterdam,Stedelijk,Oneens,Helemaal eens,Oneens,Oneens,Oneens,Neutraal,Oneens,Neutraal,Eens,Neutraal,Eens,Oneens,Helemaal eens,Oneens,Oneens,Oneens,Neutraal,Oneens,Neutraal,Eens,Neutraal,Eens,Oneens,Helemaal eens,Oneens,Oneens,Oneens,Neutraal,Oneens,Neutraal,5
1997,,,,,,,,,,,,,,,,Oneens,Eens,Eens,Eens,Neutraal,Eens,Eens,,,,,,,,Eens,Oneens,Eens,Eens,Eens,5
1997,Vrouw,WO Bachelor,Barcelona,Stedelijk,Oneens,Helemaal eens,Neutraal,Eens,Eens,Eens,Eens,Eens,Oneens,Eens,Eens,Oneens,Helemaal eens,Helemaal eens,Helemaal eens,Helemaal eens,Oneens,Oneens,Helemaal eens,Neutraal,Eens,Eens,Eens,Eens,Eens,Helemaal Eens,Helemaal oneens,Eens,Eens,Oneens,5
2007,Man,WO Bachelor,Utrecht,Stedelijk,Eens,Helemaal eens,Neutraal,Helemaal eens,Eens,Helemaal Eens,Helemaal Eens,Helemaal Eens,Eens,Eens,Eens,Helemaal oneens,Helemaal eens,Eens,Eens,Eens,Neutraal,Neutraal,Helemaal eens,Eens,Helemaal Eens,Helemaal Eens,Helemaal Eens,Eens,Eens,Helemaal Eens,Helemaal Eens,Helemaal Eens,Helemaal Eens,Helemaal Eens,5
1999,Vrouw,WO Master,Assen,Stedelijk,Helemaal eens,Helemaal eens,Helemaal eens,Helemaal eens,Helemaal eens,Helemaal Eens,Helemaal Eens,Helemaal Eens,Helemaal oneens,Helemaal Eens,Helemaal Eens,Oneens,Eens,Eens,Oneens,Oneens,Oneens,Oneens,Helemaal eens,Helemaal eens,Helemaal Eens,Helemaal Eens,Helemaal Eens,Helemaal oneens,Helemaal Eens,Neutraal,Oneens,Oneens,Oneens,Oneens,5
2003,Vrouw,WO Bachelor,Groningen,Stedelijk,Oneens,Helemaal eens,Neutraal,Oneens,Oneens,Eens,Oneens,Eens,Eens,Oneens,Neutraal,Oneens,Eens,Neutraal,Oneens,Oneens,Oneens,Oneens,Oneens,Oneens,Eens,Oneens,Eens,Eens,Oneens,Helemaal Eens,Oneens,Eens,Neutraal,Oneens,5
2001,Vrouw,HBO,Haulerwijk,Landelijk,Oneens,Helemaal eens,Oneens,Neutraal,Oneens,Eens,Eens,Neutraal,Oneens,Neutraal,Eens,Neutraal,Eens,Eens,Oneens,Oneens,Oneens,Oneens,Neutraal,Oneens,Eens,Eens,Neutraal,Oneens,Neutraal,Helemaal Eens,Helemaal oneens,Oneens,Oneens,Oneens,5
2003,Man,HBO,Groningen,Stedelijk,Eens,Helemaal eens,Neutraal,Eens,Eens,Helemaal Eens,Eens,Helemaal Eens,Helemaal oneens,Eens,Eens,Eens,Neutraal,Eens,Oneens,Neutraal,Neutraal,Neutraal,Eens,Eens,Helemaal Eens,Eens,Helemaal Eens,Helemaal oneens,Eens,Eens,Neutraal,Eens,Neutraal,Oneens,5
2003,Vrouw,WO Bachelor,Groningen,Stedelijk,Oneens,Eens,Neutraal,Oneens,Oneens,Eens,Oneens,Neutraal,Eens,Neutraal,Oneens,Oneens,Eens,Neutraal,Eens,Oneens,Oneens,Oneens,Oneens,Oneens,Eens,Oneens,Neutraal,Eens,Neutraal,Oneens,Oneens,Eens,Oneens,Oneens,5
2002,Vrouw,WO Bachelor,Spanbroek,Landelijk,Eens,Helemaal eens,Eens,Eens,Helemaal eens,Eens,Eens,Eens,Oneens,Neutraal,Helemaal Eens,Eens,Eens,Eens,Neutraal,Oneens,Neutraal,Oneens,Eens,Helemaal eens,Eens,Eens,Eens,Oneens,Neutraal,Eens,Neutraal,Oneens,Neutraal,Oneens,5
1998,Vrouw,WO Bachelor,Groningen,Stedelijk,Eens,Neutraal,Oneens,Eens,Neutraal,Eens,Eens,Neutraal,Eens,Eens,Eens,Oneens,Helemaal eens,Eens,Oneens,Helemaal oneens,Eens,Oneens,Eens,Neutraal,Eens,Eens,Neutraal,Eens,Eens,Eens,Oneens,Eens,Neutraal,Neutraal,5
2002,Man,WO Master,Groningen,Stedelijk,Eens,Helemaal eens,Oneens,Eens,Eens,Eens,Eens,Eens,Eens,Eens,Eens,Eens,Eens,Eens,Eens,Eens,Eens,Neutraal,Eens,Eens,Eens,Eens,Eens,Eens,Eens,Helemaal Eens,Eens,Eens,Eens,Eens,5
