D2,D3,D4,D5,D6,BI1,BI2,BI3,BI4,BI5,PE1,PE2,PE3,PE4,PE5,PE6,SN1,SN2,SN3,SN4,SN5,SN6,SN7,A1,A2,A3,A4,A5,A6,A7,B1,B2,B3,B4,B5,Column,meanA,meanB,meanBI,meanPE,meanSN,meanTotal,5,7,1,3,4,Extreme,Neutral
25,Vrouw,WO Bachelor,Groningen,Stedelijk,4,3,2,4,3,4,4,3,4,4,4,2,5,4,2,1,4,2,4,3,4,4,3,4,4,4,2,4,3,3,5,3.7142857142857144,3.2,3.2,3.8333333333333335,2.857142857142857,6.68639455782313,2,0,1,7,16,3.0,7.0
21,Man,WO Master,Groningen,Stedelijk,4,5,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,5,4,4,4,4,5,4.0,4.2,3.8,4.0,3.857142857142857,6.551020408163265,3,0,0,2,28,3.0,2.0
21,Man,HBO,Doetinchem,Stedelijk,4,5,3,3,3,4,4,4,4,5,5,2,4,3,4,3,4,3,3,3,4,4,4,4,5,2,2,2,3,3,5,3.857142857142857,2.4,3.6,4.333333333333333,3.2857142857142856,6.2108843537414975,5,0,0,10,12,5.0,10.0
21,Man,WO Bachelor,Amsterdam,Stedelijk,1,5,1,4,3,4,4,4,4,4,4,2,4,4,2,2,3,4,4,3,4,4,4,4,4,4,4,4,4,4,5,3.857142857142857,4.0,2.8,4.0,3.0,6.236734693877551,2,0,2,4,24,4.0,4.0
20,Man,WO Bachelor,Huis ter Heide,Landelijk,2,5,1,3,2,4,4,4,4,4,3,4,4,4,4,2,4,1,3,2,4,4,4,4,4,2,3,3,3,2,5,3.5714285714285716,2.6,2.6,3.8333333333333335,3.2857142857142856,5.8414965986394565,2,0,2,6,15,4.0,6.0
20,Vrouw,WO Master,Leiden,Stedelijk,3,5,3,2,3,5,4,5,4,4,4,2,4,2,2,2,3,3,2,3,5,4,5,4,4,5,4,4,4,4,5,3.857142857142857,4.2,3.2,4.333333333333333,2.5714285714285716,6.165986394557824,7,1,1,6,12,8.0,6.0
44,Vrouw,WO Master,Makkinga,Landelijk,2,4,2,2,2,4,2,4,2,4,4,4,5,4,4,2,4,2,2,2,4,2,4,2,4,5,3,2,3,3,5,2.857142857142857,3.2,2.4,3.3333333333333335,3.5714285714285716,9.194557823129253,3,0,0,4,13,3.0,4.0
21,Vrouw,WO Master,Smilde,Stedelijk,4,5,4,4,4,4,2,4,4,4,4,4,4,2,2,2,2,2,4,4,4,2,4,4,4,2,2,4,4,2,5,3.7142857142857144,2.8,4.2,3.6666666666666665,2.5714285714285716,6.136054421768707,2,0,0,0,19,2.0,0.0
20,Vrouw,HBO,Utrecht,Stedelijk,5,5,4,5,4,5,5,4,4,4,4,2,4,4,3,2,3,3,5,4,5,5,4,4,4,2,3,1,2,2,5,4.428571428571429,2.0,4.6,4.333333333333333,3.0,6.194557823129252,9,0,1,5,12,10.0,5.0
26,Vrouw,WO Master,Groningen,Stedelijk,3,5,3,4,4,4,3,5,3,4,5,2,4,4,3,3,4,2,4,4,4,3,5,3,4,4,4,4,4,4,5,3.857142857142857,4.0,3.8,4.0,3.142857142857143,7.114285714285714,5,0,0,8,18,5.0,8.0
